Price,Close,High,Low,Open,Volume,daily_return
Ticker,SPY,SPY,SPY,SPY,SPY,
Date,,,,,,
2022-04-19,421.129638671875,421.848787018053,414.1650495021856,414.33537183065033,77821000,0.016142658441941737
2022-04-20,420.8173828125,423.5237406996165,419.65348460531936,422.9086685500845,65224400,-0.000741472056822623
2022-04-21,414.52471923828125,425.83270326471836,413.61630443070874,424.441679554067,85417300,-0.014953430707073556
2022-04-22,403.1504821777344,414.54359749502777,402.5827121441921,413.43647336370464,132471800,-0.027439225051398286
2022-04-25,405.48779296875,405.6581153210633,396.33731266857023,400.9078312682018,119647700,0.0057976137803184
2022-04-26,393.74444580078125,403.1504075771343,393.7160587482562,402.95166933148056,103996300,-0.028961037475359386
2022-04-27,394.8516540527344,400.198124069915,392.7130949238464,394.8232669941469,122030000,0.0028119971310358594
2022-04-28,404.8253479003906,406.5570449371299,395.1639015423122,399.6019274903522,105449100,0.025259344225323277
2022-04-29,389.86480712890625,402.9896201658994,389.1172427381389,400.83211704855785,145491100,-0.036955543542608105
2022-05-02,392.2115783691406,393.57421496301487,383.2598073525532,389.93105502630925,158312500,0.006019448786662274
2022-05-03,394.0095520019531,396.4225390237503,391.1517861904564,392.71316131066664,100028200,0.00458419315484937
2022-05-04,406.00823974609375,406.57600980928174,391.4829309462933,394.67186907445193,144247900,0.030452783906318004
2022-05-05,391.5775451660156,402.16635092774,387.44233342518896,401.7405161814466,172929100,-0.035542861369273426
2022-05-06,389.240234375,392.5143334096191,383.9316525873715,389.01313791973797,151770800,-0.005968960222233033
2022-05-09,376.77777099609375,384.5750561979862,375.19748138207063,383.3354400955876,155586100,-0.032017407961222544
2022-05-10,377.64837646484375,384.26282054447404,373.60779806565324,382.7582487909865,132497200,0.002310660383303409
2022-05-11,371.6489562988281,382.3323933257538,370.90139206919764,376.68313878017256,142361000,-0.01588625965289736
2022-05-12,371.260986328125,374.5350849474075,364.4572767318207,368.45055253884505,125090800,-0.0010439151358497822
2022-05-13,380.1370849609375,381.5186365245012,374.35533743902573,375.39624432033366,104174400,0.02390797568201175
2022-05-16,378.5946350097656,382.26618152652463,376.2384227760437,378.49055876588955,78622400,-0.004057615034666728
2022-05-17,386.3824462890625,386.6190146909032,380.9508161457749,384.6886084460492,83029700,0.020570316003278855
2022-05-18,370.8067626953125,382.1052719010939,369.5671465773128,381.82140136948277,117674500,-0.04031157145813358
2022-05-19,368.5357666015625,372.96434969897865,366.3120175133911,367.7409001168937,98510700,-0.006124473235716188
2022-05-20,368.6965637207031,375.6989821356005,360.09494071422534,372.12206931233277,131432200,0.00043631346998806997
2022-05-23,375.5950012207031,376.3614806717681,369.406362617675,371.72471605038334,76414900,0.018710338470161902
2022-05-24,372.72784423828125,373.9201297277437,366.1701440952919,371.46928376641955,91448800,-0.007633639886322929
2022-05-25,376.0208435058594,377.98910932924895,370.83528117459343,371.2327000287483,91472900,0.008834862537055121
2022-05-26,383.5342102050781,385.1712741839689,377.04278616008014,377.25096753960395,82168300,0.019981250584854005
2022-05-27,392.9496765136719,393.06322475181946,385.79584873051925,385.99455814727753,84768700,0.024549221576764202
2022-05-31,390.74481201171875,394.08515718858496,388.00062391684565,391.33149711527295,95937000,-0.005611060738146212
2022-06-01,387.584228515625,393.87694263717856,385.06713709140746,392.8644517588874,86585800,-0.008088612820786323
2022-06-02,394.9652099609375,395.01251209671574,385.1712709822698,387.42340710258367,79609600,0.01904355467089114
2022-06-03,388.4832458496094,391.79520408065434,387.5085850110212,390.2433012195324,71874300,-0.016411481183290055
2022-06-06,389.6660461425781,394.22706332553315,388.4926471442496,392.4953952002465,57508900,0.0030446623003830275
2022-06-07,393.4037780761719,393.85799980122914,385.710569071012,386.1742627730429,59272400,0.009592141708508306
2022-06-08,389.1267395019531,393.4796050518694,388.33187292156634,391.6911335875091,64350000,-0.010871879764689507
2022-06-09,379.8721618652344,389.61877058958953,379.8721618652344,387.34771921360226,86289800,-0.02378293932862019
2022-06-10,368.8574523925781,374.5161791416106,368.8101502618891,373.6645386433497,132893900,-0.028995832225694684
2022-06-13,354.85260009765625,361.2967210051914,353.2439234260221,359.442032834515,170004900,-0.03796819666806239
2022-06-14,353.7833251953125,357.6346658846879,350.679548775885,356.60323107069917,104011800,-0.003013293130864736
2022-06-15,358.8269958496094,363.27446487884,352.1273619331276,357.08582684228884,125666800,0.014256383201532774
2022-06-16,346.9512939453125,351.01081676127995,344.5193632718366,350.60392594515343,134473300,-0.03309589869674745
2022-06-17,347.6992492675781,351.04454035549736,344.1924419666906,347.36664594017265,111113900,0.0021557934364802023
2022-06-21,356.4520568847656,357.8395764065463,353.3538694431423,353.4299145965904,76811900,0.02517350162712484
2022-06-22,355.8058166503906,359.9208687301767,351.80477429485757,352.2229356289405,90059400,-0.0018129793948248318
2022-06-23,359.2935791015625,360.02534683784137,354.3802275814878,357.94408234086904,79292100,0.00980243236045486
2022-06-24,370.71697998046875,370.7264928757993,362.43933990911876,362.4678495923808,98050300,0.03179405796082202
2022-06-27,369.3009338378906,371.93342448126845,368.20802402579585,371.63881476677494,66009600,-0.003819749887509105
2022-06-28,361.75506591796875,373.64409647087297,361.64102718888944,370.859544492515,86548900,-0.020432842780826133
2022-06-29,361.46044921875,363.29463974904866,359.63577158326706,362.3062847809654,65676000,-0.0008144093254676132
2022-06-30,358.5237731933594,361.7645084605366,354.0665767146873,357.56389907239446,112508300,-0.00812447401019356
2022-07-01,362.3157653808594,362.7529525002182,355.2450743514729,357.8680810567147,74839700,0.010576682694497075
2022-07-05,363.00006103515625,363.01908682641243,354.3897883879628,357.2218760257325,81438000,0.001888672036055583
2022-07-06,364.2259216308594,366.7158632778939,360.7571091301574,363.14249596615014,70426200,0.003377025866627692
2022-07-07,369.6809997558594,370.4792996961626,364.2449324457464,366.0031064941069,64525900,0.01497718257002223
2022-07-08,369.3769836425781,371.2491967887842,366.516386504775,368.04645446042775,72397800,-0.0008223741914841209
2022-07-11,365.15740966796875,367.66634894711177,364.4636353318297,366.6969906578774,58366900,-0.011423489176283885
2022-07-12,361.92608642578125,366.99152847059673,360.17742508846254,364.6061122917404,62219200,-0.008849124121911411
2022-07-13,360.0253601074219,362.9620020597862,356.0623697104502,356.4805310045145,84224600,-0.0052516974864400545
2022-07-14,359.15106201171875,360.234458871572,352.6220841639683,355.064490796516,89704800,-0.002428434750936015
2022-07-15,366.01263427734375,366.12667298735175,361.6504796031944,363.5606860012762,79060400,0.019104975569865124
2022-07-18,362.9905700683594,369.77613578928634,361.76459566817937,369.10138727564373,63203600,-0.008256721014429313
2022-07-19,372.7981872558594,373.36840979135206,366.2597263907414,366.9154489534266,78506000,0.027018931058327533
2022-07-20,375.17413330078125,376.5901914099878,371.619791193265,372.98831383414614,71843800,0.006373276818782525
2022-07-21,378.9945983886719,379.0421048535145,372.1900078667484,374.59442084284586,64903900,0.01018317828651516
2022-07-22,375.4782409667969,380.3155764832449,373.2543990144218,379.1181409721045,72197300,-0.009278120154812441
2022-07-25,375.9344482421875,376.78976766133366,373.6915803624673,376.10550632547137,53631500,0.0012150032295239477
